Title,Number of Units,Quarter
Generative Adversarial Networks,3,null
Decision Making under Uncertainty (AA 228),4,2023-2024 Autumn
Advanced Topics in Sequential Decision Making (AA 229),4,2023-2024 Winter
Advanced Topics in Operating Systems,3,2023-2024 Spring
Embedded Systems Workshop (EE 285),3,2023-2024 Winter
Programming Languages,4,2023-2024 Autumn
Program Analysis and Optimizations,4,2023-2024 Winter
Advanced Topics in Networking,4,2023-2024 Spring
Distributed Systems,3,2023-2024 Spring
Principles of Data-Intensive Systems,4,null
Mining Massive Data Sets,4,2023-2024 Winter
Mining Massive Data Sets Hadoop Lab,1,null
Design for Artificial Intelligence (SYMSYS 195A),4,2023-2024 Autumn
Design for Behavior Change (SYMSYS 195B),4,2023-2024 Winter
Design for Play (SYMSYS 195G),4,2023-2024 Spring
Design for Understanding,4,null
Service Design (SYMSYS 195S),4,2023-2024 Winter
Fundamentals of Computer Graphics: Animation and Simulation,3,2023-2024 Autumn
The Modern Internet,3,2023-2024 Winter
Algebraic Error Correcting Codes (EE 387),3,null
Cryptocurrencies and blockchain technologies,3,2023-2024 Autumn
Analysis of Boolean Functions,3,null
Web Security,3,null
Computational Complexity,3,2023-2024 Winter
Computational Complexity II,3,2023-2024 Spring
Introduction to Cryptography,3,2023-2024 Winter
Algorithmic Fairness,3,2023-2024 Winter
Introduction to Automated Reasoning,3,2023-2024 Autumn
Quantum Computing,3,2023-2024 Autumn
Geometry of Polynomials in Algorithm Design,3,null
Optimization and Algorithmic Paradigms,3,2023-2024 Autumn
Counting and Sampling,3,2023-2024 Autumn
Randomized Algorithms and Probabilistic Analysis (CME 309),3,2023-2024 Autumn
Geometric Algorithms,3,null
Almost Linear Time Graph Algorithms (MS&E 313),3,null
Incentives in Computer Science,3,2023-2024 Spring
Introduction to Optimization Theory (MS&E 213),3,null
Elements of Quantum Computer Programming,3,null
Modeling Biomedical Systems (BIOMEDIN 210),3,2023-2024 Winter
Symbolic Musical Information (MUSIC 253),4,2023-2024 Winter
Computational Music Analysis (MUSIC 254),4,2023-2024 Spring
Information Retrieval and Web Search (LINGUIST 286),3,null
Foundation Models for Healthcare (BIODS 271),3,2023-2024 Winter
Ethics of Artificial Intelligence,4,2023-2024 Spring
Applied Causal Inference with Machine Learning and AI (MS&E 228),3,2023-2024 Winter
Empowering Educators via Language Technology (EDUC 473),4,2023-2024 Autumn
Research Project in Artificial Intelligence,3,null
Research Project in Software Systems and Security,3,null
Writing Intensive Research Project in Computer Science,3,null
Software Engineering,3,2023-2024 Winter
Seminar on Teaching Introductory Computer Science (EDUC 298),1,2023-2024 Autumn
Departmental Lecture Series,1,2023-2024 Autumn
Industrial Lectureships in Computer Science,1,null
Cloud Computing Seminar,1,2023-2024 Autumn
Parallel Computing Research Project,3,null
Advanced Multi-Core Systems,3,null
Topics in Digital Systems,3,null
Value of Data and AI,3,null
The AI Awakening: Implications for the Economy and Society,4,null
The AI Awakening: Implications for the Economy and Society,3,null
Advances in Foundation Models,3,null
History of Natural Language Processing,4,2023-2024 Winter
Topics in Advanced Robotic Manipulation,4,2023-2024 Autumn
Advanced Robotic Manipulation (ME 323),3,2023-2024 Spring
Foundations of Causal Machine Learning,3,2023-2024 Autumn
Topics in Artificial Intelligence,3,null
Machine Learning Under Distributional Shifts,3,null
Machine Learning on Embedded Systems (EE 292D),3,null
Machine Learning from Human Preferences,3,2023-2024 Autumn
Machine Programming,4,2023-2024 Autumn
Practical Machine Learning,4,null
Machine Learning Systems Design,4,null
Trustworthy Machine Learning,3,2023-2024 Autumn
Human Centered NLP (CS 129X),4,null
Deep Multi-task and Meta Learning,3,2023-2024 Autumn
Interactive Simulation for Robot Learning,3,null
Advanced Survey of Reinforcement Learning,3,null
Algorithms for Interactive Robotics,4,null
Language Modeling from Scratch,3,2023-2024 Spring
AI-Assisted Care (MED 277),4,2023-2024 Autumn
Physical Human Robot Interaction,3,null
Human-Computer Interaction and AI/ML,3,null
Collaborative Robotics (ME 326),3,2023-2024 Winter
Topics in Computer Systems,4,null
Advanced Operating System Lab: Accelerated (II),2,null
Rusty Systems,3,2023-2024 Spring
Project in Mining Massive Data Sets,3,null
Building for Digital Health (MED 253),4,2023-2024 Winter
Domain-Specific Programming Models and Compilers,3,2023-2024 Winter
Topics in Computer Networks,3,null
Data-intensive Systems for the Next 1000x,4,null
Human-Computer Interaction: Foundations and Frontiers,4,2023-2024 Spring
Computer Graphics: Geometric Modeling & Processing,3,null
Computer Graphics: Image Synthesis Techniques,4,null
Computer Graphics: Animation and Simulation,3,2023-2024 Winter
Computer Graphics in the Era of AI,4,2023-2024 Winter
Visual Computing Systems,4,2023-2024 Spring
Neural Models for 3D Geometry,3,null
Topics in Programming Systems,3,null
Cloud Computing Technology,3,2023-2024 Spring
Technology for Financial Systems,2,null
Selected Reading of Ph.D. Dissertations,3,null
Software Techniques for Emerging Hardware Platforms (EE 292Y),3,2023-2024 Autumn
Machine Learning for Software Engineering,4,null
Project Lab: Video and Audio Technology for Live Theater in the Age of COVID (EE 192T),3,null
Secure Compilation,3,null
Open Problems in Coding Theory,3,null
Blockchain Governance,3,null
Seminar on Logic & Formal Philosophy (PHIL 391),4,2023-2024 Winter
Topics in Intractability: Unfulfilled Algorithmic Fantasies,3,null
Advanced Topics in Cryptography,3,2023-2024 Spring
Topics in Computer and Network Security,3,2023-2024 Autumn
Advanced Topics in Formal Methods,3,null
Formal Methods for Computer Systems,3,null
Topics in Programming Language Theory,3,null
Programming Language Foundations,3,null
Topics in the Theory of Computation,3,null
Research Seminar in Complexity Theory,3,null
Quantum Complexity Theory,3,null
Simplicity and Complexity in Economic Theory (ECON 284),5,null
Engineering Design Optimization (AA 222),4,2023-2024 Spring
Research in AI Alignment,3,null
Computational Social Choice (MS&E 336),3,2023-2024 Winter
Algorithmic Techniques for Big Data,3,null
Topics in Analysis of Algorithms,3,null
Algorithmic Perspective on Machine Learning,3,null
Metric Embeddings and Algorithmic Applications,3,null
Dynamic Data Structures for Graphs,3,null
Artificial Intelligence for Precision Medicine and Psychiatric Disorders,3,2023-2024 Spring
Large-Scale Neural Network Modeling for Neuroscience (PSYCH 249),3,2023-2024 Winter
Topics in Human-Computer Interaction,3,null
Designing Solutions to Global Grand Challenges (DESIGN 297),4,null
Designing Serious Games,4,2023-2024 Autumn
Introduction to the Design of Smart Products (ME 216M),4,null
Designing for Accessibility (ME 214),4,2023-2024 Spring
Topics in Human-Computer Interaction: Teaching Studio Classes,3,null
Understanding Users,4,2023-2024 Spring
Computational Models of the Neocortex,3,null
Sensorimotor Learning for Embodied Agents (EE 381),3,null
Seminar on Ethical and Social Issues in Natural Language Processing (LINGUIST 287),4,null
Curricular Practical Training,1,2023-2024 Winter
Curricular Practical Training,1,2023-2024 Winter
Curricular Practical Training,1,2023-2024 Spring
Part-time Curricular Practical Training,1,2023-2024 Summer
Computational Education,4,null
Independent Project,9,2023-2024 Spring
Independent Project,9,2023-2024 Autumn
Designing AI to Cultivate Human Well-Being,2,null
Interactive and Embodied Learning (EDUC 234A),3,2023-2024 Winter
Probabilistic models of cognition: Reasoning and Learning (PSYCH 220A),3,null
High-level Vision: From Neurons to Deep Neural Networks (PSYCH 250),3,null
Computer Vision for Education and Social Science Research (EDUC 463),3,2023-2024 Winter
Topics in Computer Graphics,4,null
Topics in Computer Graphics: Agile Hardware Design,3,null
Computational Imaging (EE 367),3,2023-2024 Winter
Making Making Machines for Makers,4,null
Hacking the Pandemic,3,null
Topics in Computer Graphics: Computational Video Manipulation,3,null
Physically Based Animation and Sound,4,null
Topics in Geometric Algorithms: Non-Euclidean Methods in Machine Learning,3,null
Music and AI (MUSIC 356),4,2023-2024 Winter
Digital Technology and Law: Foundations,3,null
Introduction to CSCL: Computer-Supported Collaborative Learning (EDUC 315A),3,2023-2024 Winter
Advanced Reading and Research,15,2023-2024 Summer
Advanced Reading and Research,15,2023-2024 Summer
Knowledge Graphs,1,null
Seminar on AI Safety,1,null
Seminar in Artificial Intelligence in Healthcare,1,2023-2024 Autumn
Research Seminar in Computer Vision + X,2,null
Research Seminar in Computer Vision and Healthcare,1,null
Machine Learning Systems Seminar,1,2023-2024 Winter
Robotics and Autonomous Systems Seminar (AA 289),1,2023-2024 Spring
Human-Computer Interaction Seminar,1,2023-2024 Autumn
Human-Computer Interaction in the Real World,1,null
Surgical Robotics Seminar (ME 571),1,null
Media Innovation,1,null
TGR Dissertation,0,2023-2024 Summer
